ItemNum,Description,ScheduleFee
30692,"Endoscopic ultrasound (endoscopy with ultrasound imaging), with or without biopsy, for the diagnosis of 1 or more of pancreatic, biliary or gastric submucosal tumours, not in association with another item in this Subgroup (other than item 30484, 30485, 30491 or 30494) and other than a service associated with the routine monitoring of chronic pancreatitis. (Anaes.)",415.75
30694,"Endoscopic ultrasound (endoscopy with ultrasound imaging), with or without biopsy, with fine needle aspiration, for the diagnosis of 1 or more of pancreatic, biliary or gastric submucosal tumours, not in association with another item in this Subgroup (other than item 30484, 30485, 30491 or 30494) and other than a service associated with the routine monitoring of chronic pancreatitis. (Anaes.)",641.8
30720,"Appendicectomy, on a patient 10 years of age or over, whether performed by:(a) laparoscopy or right iliac fossa open incision; or(b) conversion of a laparoscopy to an open right iliac fossa incision;other than a service to which item 30574 applies (Anaes.) (Assist.)",507.45
30721,"Laparotomy or laparoscopy, or laparoscopy converted to laparotomy, with or without associated biopsies, including the division of adhesions (if performed, but only if the time taken to divide adhesions is 45 minutes or less), if no other intra-abdominal procedure is performed (Anaes.) (Assist.)",550.55
30722,"Laparotomy or laparoscopy, on a patient 10 years of age or over, including any of the following procedures (if performed, and including division of one or more adhesions, but only if the time taken to divide the adhesions is 45 minutes or less): (a) colostomy; (b) colotomy; (c) cholecystostomy; (d) enterostomy; (e) enterotomy; (f) gastrostomy; (g) gastrotomy; (h) caecostomy; (i) gastric fixation by cardiopexy; (j) reduction of intussusception; (k) simple repair of ruptured viscus (including perforated peptic ulcer); (l) reduction of volvulus; (m) drainage of pancreas (Anaes.) (Assist.)",593.9
30723,"Laparotomy, laparoscopy or extra-peritoneal approach, for drainage of an intra-abdominal, pancreatic or retroperitoneal collection or abscess (Anaes.) (Assist.)",593.9
30724,"Laparotomy or laparoscopy with division of adhesions, lasting more than 45 minutes but less than 2 hours, performed either:(a) as a primary procedure; or(b) when the division of adhesions is performed in conjunction with another primary procedure—to provide access to a surgical field (but excluding mobilisation or normal anatomical dissection of the organ or structure for which the primary procedure is being carried out) (Anaes.) (Assist.)",596.65
30725,"Laparotomy or laparoscopy for intestinal obstruction or division of extensive, complex adhesions, lasting 2 hours or more, performed either:a) as a primary procedure; orb) when the division of adhesions is performed in conjunction with another procedure—to provide access to a surgical field, but excluding mobilisation or normal anatomical dissection of the organ or structure for which the other procedure is being carried out (Anaes.) (Assist.)",1057.35
30730,"Small intestine, resection of, including either of the following:(a) a small bowel diverticulum (such as Meckel’s procedure) with anastomosis;(b) stricturoplasty (Anaes.) (Assist.)",1102.65
30753,"Oesophagectomy, by any approach, including:(a) gastric reconstruction by abdominal mobilisation, thoracotomy or thoracoscopy; and(b) anastomosis in the neck or chestOne surgeon (Anaes.) (Assist.)",1960.5
30756,"Antireflux operation by fundoplasty, with or without cardiopexy, by any approach, with or without closure of the diaphragmatic hiatus, other than a service to which item 30601 applies (Anaes.) (Assist.)",992.6
30762,"Gastrectomy, subtotal or total radical, for carcinoma, by open or minimally invasive approach, including all necessary anastomoses, including either or both of the following (if performed):(a) extended lymph node dissection;(b) splenectomy (Anaes.) (Assist.)",1894.2
30820,"Lymph node of neck, biopsy of, by open procedure, if the specimen excised is sent for pathological examination (Anaes.)",209.5
31000,"Mohs surgery of skin tumour located on the head, neck, genitalia, hand, digits, leg (below knee) or foot, utilising horizontal frozen sections with mapping of all excised tissue, and histological examination of all excised tissue by the specialist performing the procedure, if the specialist is recognised by the Australasian College of Dermatologists as an approved Mohs surgeon—6 or fewer sections (Anaes.)",661.8
31001,"Mohs surgery of skin tumour located on the head, neck, genitalia, hand, digits, leg (below knee) or foot, utilising horizontal frozen sections with mapping of all excised tissue, and histological examination of all excised tissue by the specialist performing the procedure, if the specialist is recognised by the Australasian College of Dermatologists as an approved Mohs surgeon—7 to 12 sections (inclusive) (Anaes.)",827.15
31206,"Tumour, cyst, ulcer or scar (other than a scar removed during the surgical approach at an operation), removal of and suture, if: (a) the lesion size is not more than 10 mm in diameter; and (b) the removal is from a mucous membrane by surgical excision (other than by shave excision); and (c) the specimen excised is sent for histological examination (Anaes.)",108.8
31211,"Tumour, cyst, ulcer or scar (other than a scar removed during the surgical approach at an operation), removal of and suture, if: (a) the lesion size is more than 10 mm, but not more than 20 mm, in diameter; and (b) the removal is from a mucous membrane by surgical excision (other than by shave excision); and (c) the specimen excised is sent for histological examination (Anaes.)",140.25
31216,"Tumour, cyst, ulcer or scar (other than a scar removed during the surgical approach at an operation), removal of and suture, if: (a) the lesion size is more than 20 mm in diameter; and (b) the removal is from a mucous membrane by surgical excision (other than by shave excision); and (c) the specimen excised is sent for histological examination (Anaes.)",163.6
31220,"Tumours (other than viral verrucae (common warts) and seborrheic keratoses), lipomas, cysts, ulcers or scars (other than scars removed during the surgical approach at an operation), removal of 4 to 10 lesions and suture, if: (a) the size of each lesion is not more than 10 mm in diameter; and (b) each removal is from cutaneous or subcutaneous tissue by surgical excision (other than by shave excision); and (c) all of the specimens excised are sent for histological examination (Anaes.)",244.35
31245,"SKIN AND SUBCUTANEOUS TISSUE, extensive excision of, in the treatment of SUPPURATIVE HIDRADENITIS (excision from axilla, groin or natal cleft) or SYCOSIS BARBAE or NUCHAE (excision from face or neck) (Anaes.)",420.3
31345,"Lipoma, removal of, by surgical excision or liposuction, if:(a) the lesion is: (i) subcutaneous and 50 mm or more in diameter but less than 150 mm in diameter; or(ii) sub fascial; and (b) the specimen excised is sent for histological confirmation of diagnosis (Anaes.)",240.35
31350,"Benign tumour of soft tissue (other than tumours of skin, cartilage and bone, simple lipomas covered by item 31345 and lipomata), removal of, by surgical excision, on a patient 10 years of age or over, if the specimen excised is sent for histological confirmation of diagnosis, other than a service to which another item in this Group applies (Anaes.) (Assist.)",493.65
31355,"MALIGNANT TUMOURof SOFT TISSUE, excluding tumours of skin, cartilage and bone, removal of by surgical excision, where histological proof of malignancy has been obtained, not being a service to which another item in this Group applies (Anaes.) (Assist.)",814
31356,"Malignant skin lesion (other than a malignant skin lesion covered by item 31371, 31372, 31373, 31374, 31375, 31376, 31377, 31378, 31379, 31380, 31381, 31382 or 31383), surgical excision (other than by shave excision) and repair of, if: (a) the lesion is excised from nose, eyelid, eyebrow, lip, ear, digit or genitalia, or from a contiguous area; and (b) the necessary excision diameter is less than 6 mm; and (c) the excised specimen is sent for histological examination; and (d) malignancy is confirmed from the excised specimen or previous biopsy; not in association with item 45201 (Anaes.)",252.15
31357,"Non-malignant skin lesion (other than viral verrucae (common warts) and seborrheic keratoses), including a cyst, ulcer or scar (other than a scar removed during the surgical approach at an operation), surgical excision (other than by shave excision) and repair of, if: (a) the lesion is excised from nose, eyelid, eyebrow, lip, ear, digit or genitalia, or from a contiguous area; and (b) the necessary excision diameter is less than 6 mm; and (c) the excised specimen is sent for histological examination; not in association with item 45201 (Anaes.)",124.9
31358,"Malignant skin lesion (other than a malignant skin lesion covered by item 31371, 31372, 31373, 31374, 31375, 31376, 31377, 31378, 31379, 31380, 31381, 31382 or 31383), surgical excision (other than by shave excision) and repair of, if: (a) the lesion is excised from nose, eyelid, eyebrow, lip, ear, digit or genitalia, or from a contiguous area; and (b) the necessary excision diameter is 6 mm or more; and (c) the excised specimen is sent for histological examination; and (d) malignancy is confirmed from the excised specimen or previous biopsy (Anaes.)",308.6
